,id,img_name,img_generation_promt,rating
24,25,"3_An_oil_refinery_in_2020,_industrial,_hyper_realistic,_8k,_epic_composition,_cinematic,_octane_render,_artstation_landscape_vista.jpg","3_An_oil_refinery_in_2020,_industrial,_hyper_realistic,_8k,_epic_composition,_cinematic,_octane_render,_artstation_landscape_vista",3
25,26,"3_3D_design,_3D_modeling_and_3D_rendering,_animation,_industrial..jpg","3_3D_design,_3D_modeling_and_3D_rendering,_animation,_industrial.",3
26,27,"3_Hyper_realistic_city_city_in_the_year_2000,_atmospheric,_hyper_realistic,_8k,_epic_composition,_cinematic,_octane_render,_artsta.jpg","3_Hyper_realistic_city_city_in_the_year_2000,_atmospheric,_hyper_realistic,_8k,_epic_composition,_cinematic,_octane_render,_artsta",4
27,28,3_Dark_and_stormy_sky_with_clouds_and_fog..jpg,3_Dark_and_stormy_sky_with_clouds_and_fog.,3
28,29,"3_Amazing_castle_and_countryside_design_and_illustration,_artstation,_futuristic,_3d,_hyper_detailed,_new_modern..jpg","3_Amazing_castle_and_countryside_design_and_illustration,_artstation,_futuristic,_3d,_hyper_detailed,_new_modern.",3
29,30,"3_Dark_forest_night,_epic_sky_views,_at_night,_forest,_forest_at_night,_outdoor,_beautiful_views..jpg","3_Dark_forest_night,_epic_sky_views,_at_night,_forest,_forest_at_night,_outdoor,_beautiful_views.",3
30,31,"3_SciFi_scene_concept,_science_fiction,_8k,_epic_background_with_hyper_detailed_character..jpg","3_SciFi_scene_concept,_science_fiction,_8k,_epic_background_with_hyper_detailed_character.",3
31,32,"3_Full_image,_with_background,_character_&_props_details,_d_&_d_concept_art,_background_hyper_detailed..jpg","3_Full_image,_with_background,_character_&_props_details,_d_&_d_concept_art,_background_hyper_detailed.",3
32,33,3_A_view_on_a_very_old_but_strong_ancient..jpg,3_A_view_on_a_very_old_but_strong_ancient.,2
33,34,"3_Vintage_sports_cars,_racing_cars,_classic_cars,_Ferrari,_Lamborghini..jpg","3_Vintage_sports_cars,_racing_cars,_classic_cars,_Ferrari,_Lamborghini.",2
34,35,"3_Landscapes,_at_the_beach_or_outside_a_hotel..jpg","3_Landscapes,_at_the_beach_or_outside_a_hotel.",3
35,36,"3_Night_sky,_rain,_lightning,_clouds,_stars,_night,_day,_day_moon..jpg","3_Night_sky,_rain,_lightning,_clouds,_stars,_night,_day,_day_moon.",3
36,37,"3_Ancient_temple_ruins_and_ruins_of_war,_ancient_indonesian_villages,_warriors_and..jpg","3_Ancient_temple_ruins_and_ruins_of_war,_ancient_indonesian_villages,_warriors_and.",2
37,38,"3_Legend_of_Zelda_castle_at_night,_epic,_atmosphere,_night_landscape,..jpg","3_Legend_of_Zelda_castle_at_night,_epic,_atmosphere,_night_landscape,.",3
38,39,"3_A_city_landscape_shot_of_New_York_City,_a_lot_of_details_in_the_buildings,_the_cityscape_has_lots_of_details,_including_the_brid.jpg","3_A_city_landscape_shot_of_New_York_City,_a_lot_of_details_in_the_buildings,_the_cityscape_has_lots_of_details,_including_the_brid",3
39,40,"3_A_city_view_from_high_up_in_a_futuristic,_near_future,_skyscraper_architecture..jpg","3_A_city_view_from_high_up_in_a_futuristic,_near_future,_skyscraper_architecture.",3
40,41,"3_The_living_room_of_a_wooden_house,_cozy_fireplace,_d_&_d_wallpaper..jpg","3_The_living_room_of_a_wooden_house,_cozy_fireplace,_d_&_d_wallpaper.",3
41,42,"3_Fantasy_art,_art,_fantasy,_fantasy_illustration,_fantasy_artist,_fantasy_image,_monster_character,_character..jpg","3_Fantasy_art,_art,_fantasy,_fantasy_illustration,_fantasy_artist,_fantasy_image,_monster_character,_character.",2
42,43,"3_A_post_apocalyptic_landscape,_destroyed_futuristic_world,_wasteland,_post_world_war_3,_future_world,_a_city_in_the_sky,_post..jpg","3_A_post_apocalyptic_landscape,_destroyed_futuristic_world,_wasteland,_post_world_war_3,_future_world,_a_city_in_the_sky,_post.",3
43,44,3_An_attractive_portrait_concept_drawn_for_a_tv_show_or_movie_for_a_tv_show_or_movie_concept_about_real-life_issues_(..jpg,3_An_attractive_portrait_concept_drawn_for_a_tv_show_or_movie_for_a_tv_show_or_movie_concept_about_real life_issues_(.,3
44,45,"3_Indonesian_village_and_warriors,_epic,_concept_art,_matte_painting..jpg","3_Indonesian_village_and_warriors,_epic,_concept_art,_matte_painting.",3
45,46,"3_A_cinematic_and_hyper-realistic_urban_jungle_scene,_8K,_cinematic,_octane_render..jpg","3_A_cinematic_and_hyper realistic_urban_jungle_scene,_8K,_cinematic,_octane_render.",3
46,47,"3_An_artsy_and_detailed_city_in_2100,_atmospheric,_hyper_realistic,_8k,_epic_composition,_cinematic,_octane_render,_artstation_lan.jpg","3_An_artsy_and_detailed_city_in_2100,_atmospheric,_hyper_realistic,_8k,_epic_composition,_cinematic,_octane_render,_artstation_lan",3
47,48,"3_Beautiful_city_in_the_rain,_interior,_cityscape,_architecture,_night_exterior..jpg","3_Beautiful_city_in_the_rain,_interior,_cityscape,_architecture,_night_exterior.",3
48,49,"3_Water_fall,_water_fall_with_fish,_water_fall,_waterfall,_pool,_pool_with_fish,..jpg","3_Water_fall,_water_fall_with_fish,_water_fall,_waterfall,_pool,_pool_with_fish,.",3
49,50,3_Black_and_white_abstract_art_work_by_leonardo_davinci's..jpg,3_Black_and_white_abstract_art_work_by_leonardo_davinci's.,2
50,51,3_A_set_of_modern_wallpapers_inspired_by_the_works..jpg,3_A_set_of_modern_wallpapers_inspired_by_the_works.,4
51,52,"3_A_colorful_animated_painting_of_an_elephant_with_a_beautiful_view,_fantasy,_a_large..jpg","3_A_colorful_animated_painting_of_an_elephant_with_a_beautiful_view,_fantasy,_a_large.",3
52,53,3_Beautiful_images_of_the_ancient_indonesian_and_indonesian_culture_in_a..jpg,3_Beautiful_images_of_the_ancient_indonesian_and_indonesian_culture_in_a.,2
53,54,"3_A_beautiful_sunset,_landscape,_urban,_photo-realistic,_modern,_realistic..jpg","3_A_beautiful_sunset,_landscape,_urban,_photo realistic,_modern,_realistic.",2
54,55,"3_Cute_dogs,_urban_vista,_realistic,_8k,_octane_render,_cinematic,_artstation_landscape_photography,_realistic,_architectural..jpg","3_Cute_dogs,_urban_vista,_realistic,_8k,_octane_render,_cinematic,_artstation_landscape_photography,_realistic,_architectural.",2
55,56,3_A_scene_of_a_battle_between_a_dragon_and_a_samurai..jpg,3_A_scene_of_a_battle_between_a_dragon_and_a_samurai.,2
56,57,"3_The_house_is_very_elegant_with_a_small_garden_and_a_patio,_is_located_in_the_countryside,_in_a_private_building,_a_great_landsca.jpg","3_The_house_is_very_elegant_with_a_small_garden_and_a_patio,_is_located_in_the_countryside,_in_a_private_building,_a_great_landsca",3
57,58,"3_Clear_and_concise_concept_of_an_architectural_style,_vector,_image,_modern..jpg","3_Clear_and_concise_concept_of_an_architectural_style,_vector,_image,_modern.",3
58,59,"3_A_3d_model_of_a_cute_bunny,_3d..jpg","3_A_3d_model_of_a_cute_bunny,_3d.",3
59,60,"3_Close_up_in_the_city_and_traffic,_detailed_cityscapes,_modern_architecture,_contemporary_cityscape_render..jpg","3_Close_up_in_the_city_and_traffic,_detailed_cityscapes,_modern_architecture,_contemporary_cityscape_render.",3
60,61,"3_The_world_map,_the_world_in_a_map,_the_world,_atlas,_fantasy,_cartography,_fantasy,_fantasy_art,_adventure,_world_map,..jpg","3_The_world_map,_the_world_in_a_map,_the_world,_atlas,_fantasy,_cartography,_fantasy,_fantasy_art,_adventure,_world_map,.",3
61,62,"3_Aerial_views_of_a_city,_architecture,_top_quality,_architecture,_a_single_structure_is_very_recognizable,_architecture..jpg","3_Aerial_views_of_a_city,_architecture,_top_quality,_architecture,_a_single_structure_is_very_recognizable,_architecture.",3
62,63,"3_Architectural_render,_a_design_for_a_city_center,_industrial,_design..jpg","3_Architectural_render,_a_design_for_a_city_center,_industrial,_design.",3
63,64,"3_A_scene_with_various_lights_and_lines,_a_large_neon_sign,_an_office_with_a_window_view,..jpg","3_A_scene_with_various_lights_and_lines,_a_large_neon_sign,_an_office_with_a_window_view,.",3
64,65,"3_Medieval_castle_nathria,_night,_raining,_dark,_huge_castle_and..jpg","3_Medieval_castle_nathria,_night,_raining,_dark,_huge_castle_and.",3
65,66,"3_Landscape_architectural_rendering_of_a_futuristic_city,_hyper_realistic,_8k,_epic_composition,_cinematic,_octane_render,_artstat.jpg","3_Landscape_architectural_rendering_of_a_futuristic_city,_hyper_realistic,_8k,_epic_composition,_cinematic,_octane_render,_artstat",3
66,67,"3_A_still_of_a_bird_in_flight,_aerial_view,_photo_realistic,_8k,_epic_composition,_cinematic,_octane_render,_artstation_landscape..jpg","3_A_still_of_a_bird_in_flight,_aerial_view,_photo_realistic,_8k,_epic_composition,_cinematic,_octane_render,_artstation_landscape.",3
67,68,"3_A_futuristic_hyper_realistic_space_city,_octane_renderer,_epic_space_vista_image,..jpg","3_A_futuristic_hyper_realistic_space_city,_octane_renderer,_epic_space_vista_image,.",3
68,69,"3_A_beautiful_futuristic_portrait_covered_by_mask_made_of_wires_and_black_pearl,..jpg","3_A_beautiful_futuristic_portrait_covered_by_mask_made_of_wires_and_black_pearl,.",3
69,70,3_A_piece_of_film_and_television_screen_writing_describing_every_screen_with_every_word..jpg,3_A_piece_of_film_and_television_screen_writing_describing_every_screen_with_every_word.,2
70,71,"3_Epic,_hyper_realism,_hyper_naturalistic_portrait_of_a_character,_8k,_high_resolution,_8bit_art,_photo_realistic_landscape..jpg","3_Epic,_hyper_realism,_hyper_naturalistic_portrait_of_a_character,_8k,_high_resolution,_8bit_art,_photo_realistic_landscape.",3
71,72,"3_A_modern_architecture_built_on_top_of_abandoned_mountain_village,..jpg","3_A_modern_architecture_built_on_top_of_abandoned_mountain_village,.",3
72,73,"3_A_great_portrait_of_a_fantasy_character,_detail_of_a_dragon_flying_above_the_city_with_buildings_in_the_background,_urban_backgr.jpg","3_A_great_portrait_of_a_fantasy_character,_detail_of_a_dragon_flying_above_the_city_with_buildings_in_the_background,_urban_backgr",2
73,74,"3_City_landscape,_octane_render,_8k,_atmospheric,_epic,_cinematic,_atmospheric,_3d..jpg","3_City_landscape,_octane_render,_8k,_atmospheric,_epic,_cinematic,_atmospheric,_3d.",3
74,75,"3_A_scene_from_a_film_I_am_interested_in,_I_would_add_lots_of_atmospheric_props,_and_lighting_to_the_scene..jpg","3_A_scene_from_a_film_I_am_interested_in,_I_would_add_lots_of_atmospheric_props,_and_lighting_to_the_scene.",3
75,76,"3_This_work_of_art,_a_magical_looking_character_based_on_the_fantasy_genre,_character_concept_art,..jpg","3_This_work_of_art,_a_magical_looking_character_based_on_the_fantasy_genre,_character_concept_art,.",2
76,77,"3_City_scene;_office,_room_and_house,_interior_and_exterior_scene,_hyper_realistic,_8k,_octane_render,_architectural,_surreal,_art.jpg","3_City_scene;_office,_room_and_house,_interior_and_exterior_scene,_hyper_realistic,_8k,_octane_render,_architectural,_surreal,_art",3
77,78,"3_A_high_definition_picture_of_the_earth,_wide_screen,_photo..jpg","3_A_high_definition_picture_of_the_earth,_wide_screen,_photo.",3
78,79,"3_A_war_scene_with_lots_of_guns_and_explosions,_war_epic,_war..jpg","3_A_war_scene_with_lots_of_guns_and_explosions,_war_epic,_war.",3
79,80,"3_A_fantasy_vista_shot_from_a_magical_lands,_landscape,_hyperrealism,_hyper_realism,_hyper_realistic,_8k,_epic,_vram,_4..jpg","3_A_fantasy_vista_shot_from_a_magical_lands,_landscape,_hyperrealism,_hyper_realism,_hyper_realistic,_8k,_epic,_vram,_4.",3
80,81,3_A_dark_city_urban_landscape_shot_featuring_a_tall_industrial_chimney_in_skyline..jpg,3_A_dark_city_urban_landscape_shot_featuring_a_tall_industrial_chimney_in_skyline.,3
81,82,"3_A_close_up_of_a_group_of_friends_eating_pizza,_eating,..jpg","3_A_close_up_of_a_group_of_friends_eating_pizza,_eating,.",2
82,83,"3_The_view_to_an_exotic_waterway_to_a_distant_city_from_a_watertower,_beautiful_seascape,_artist,_8k,_atmospheric,_epic_compositio.jpg","3_The_view_to_an_exotic_waterway_to_a_distant_city_from_a_watertower,_beautiful_seascape,_artist,_8k,_atmospheric,_epic_compositio",3
83,84,"3_Light_effect_lighting,_atmoshpere,_8k,_atmospheric,_cinematic,_octane_render,_artstation_landscape_photography..jpg","3_Light_effect_lighting,_atmoshpere,_8k,_atmospheric,_cinematic,_octane_render,_artstation_landscape_photography.",2
84,85,"3_A_portrait_of_the_famous_actor_and_director,_a_master_of_cinema,_an_icon_of_the_1960s_and_70s,_a_genius,_the_last_century,_the_g.jpg","3_A_portrait_of_the_famous_actor_and_director,_a_master_of_cinema,_an_icon_of_the_1960s_and_70s,_a_genius,_the_last_century,_the_g",2
85,86,"3_This_portrait_was_created_with_photoshop_cs6,_background_pattern_with_phot..jpg","3_This_portrait_was_created_with_photoshop_cs6,_background_pattern_with_phot.",2
86,87,"3_Contemporary_abstract_work_in_dark_tone,_charcoal_&_graphite,_oil_on_canvas,_realism,..jpg","3_Contemporary_abstract_work_in_dark_tone,_charcoal_&_graphite,_oil_on_canvas,_realism,.",3
87,88,"3_Large_scale,_landscape,_epic,_epic_composition,_epic_landscapes,_large_objects,_architecture,_large_view_of_space..jpg","3_Large_scale,_landscape,_epic,_epic_composition,_epic_landscapes,_large_objects,_architecture,_large_view_of_space.",3
88,89,"3_An_exotic_world,_an_exotic_paradise,_an_indonesia_island,..jpg","3_An_exotic_world,_an_exotic_paradise,_an_indonesia_island,.",3
89,90,"3_A_little_town_with_houses_and_trees,_surreal_landscapes,_3d_animation_character_painting,_epic,_high_detail,_art..jpg","3_A_little_town_with_houses_and_trees,_surreal_landscapes,_3d_animation_character_painting,_epic,_high_detail,_art.",3
90,91,3_This_video_is_a_list_of_the_top_80_things_to_see..jpg,3_This_video_is_a_list_of_the_top_80_things_to_see.,2
91,92,3_The_movie_industry's_most_expensive_film_production_company_has_to_be_a_major_concern..jpg,3_The_movie_industry's_most_expensive_film_production_company_has_to_be_a_major_concern.,2
92,93,"3_Modern_luxury_hotel,_artstyle_architecture,_high_ceiling,_large_windows,_glass_walls_views_ocean_and_city,_artstation_landscape_.jpg","3_Modern_luxury_hotel,_artstyle_architecture,_high_ceiling,_large_windows,_glass_walls_views_ocean_and_city,_artstation_landscape_",3
93,94,"3_A_modern_glass_and_steel_office_building_skyscape,_skyscraper,_architecture,_interior,_3d_walkthrough,_360_images,_industrial_de.jpg","3_A_modern_glass_and_steel_office_building_skyscape,_skyscraper,_architecture,_interior,_3d_walkthrough,_360_images,_industrial_de",3
94,95,"3_Modern_day_landscape_in_the_desert,_hyperrealisitic,_8k,_octane_render,_8k_photostudio,_artstation_landscape_vista_photography..jpg","3_Modern_day_landscape_in_the_desert,_hyperrealisitic,_8k,_octane_render,_8k_photostudio,_artstation_landscape_vista_photography.",3
95,96,"3_The_best_Zelda_art_collection_all_of_the_best_Zelda_art_collection,..jpg","3_The_best_Zelda_art_collection_all_of_the_best_Zelda_art_collection,.",3
96,97,3_A_high_quality_custom_made_design_made_to_be..jpg,3_A_high_quality_custom_made_design_made_to_be.,3
97,98,"3_The_castle_of_Albrecht_Dürer_in_renaissance_style,_gothic..jpg","3_The_castle_of_Albrecht_Dürer_in_renaissance_style,_gothic.",3
98,99,"3_The_legend_of_Zelda,_atmospheric,_hyper_realistic,_8k,_epic_composition,_cinematic,_octane_render,_artstation_landscape_vista_ph.jpg","3_The_legend_of_Zelda,_atmospheric,_hyper_realistic,_8k,_epic_composition,_cinematic,_octane_render,_artstation_landscape_vista_ph",3
99,100,"3_Cascading_fire,_hyper_realistic,_8k,_epic_composition,_cinematic,_octane_render,_artstation_landscape_vista_photography..jpg","3_Cascading_fire,_hyper_realistic,_8k,_epic_composition,_cinematic,_octane_render,_artstation_landscape_vista_photography.",3
100,101,"3_A_new_kind_of_super_plane_made_using_advanced_aerodynamics,_in_a_black_background_a_futuristic_design_of_superfast,_next_generat.jpg","3_A_new_kind_of_super_plane_made_using_advanced_aerodynamics,_in_a_black_background_a_futuristic_design_of_superfast,_next_generat",2
101,102,"3_An_interactive,_virtual_simulation_of_the_solar_System_in_3d_based_on_the_Theory_of_Special..jpg","3_An_interactive,_virtual_simulation_of_the_solar_System_in_3d_based_on_the_Theory_of_Special.",3
102,103,"3_Amazing_landscape_design_for_modern_architecture,_super_realistic,_very_high_quality,_high_contrast,_ultra..jpg","3_Amazing_landscape_design_for_modern_architecture,_super_realistic,_very_high_quality,_high_contrast,_ultra.",2
103,104,"3_The_Legend_of_Zelda_world_made_of_fire,_hyper_realistic,_8k,_epic_composition,_cinematic,_octane_render,_artstation_landscape_vi.jpg","3_The_Legend_of_Zelda_world_made_of_fire,_hyper_realistic,_8k,_epic_composition,_cinematic,_octane_render,_artstation_landscape_vi",4
104,105,"3_Beautiful_city_scenery,_panorama_in_seashore,_city_landscape,_architecture,_architecture,_architecture,_cityscape_architecture,_.jpg","3_Beautiful_city_scenery,_panorama_in_seashore,_city_landscape,_architecture,_architecture,_architecture,_cityscape_architecture,_",4
105,106,"3_City_scenery,_vintage_car,_pedestrian_walkways,_skyscrapers,_city_background,_sunset,_open_architecture,_concrete,_background,_l.jpg","3_City_scenery,_vintage_car,_pedestrian_walkways,_skyscrapers,_city_background,_sunset,_open_architecture,_concrete,_background,_l",4
106,107,"3_Clean_portrait_of_an_action_hero,_3d_concept_art..jpg","3_Clean_portrait_of_an_action_hero,_3d_concept_art.",3
107,108,"3_Dreamscape,_fantasy,_fantasy_fantasy,_8k,_epic,_epic_landscape,_landscape,_artstation_photography..jpg","3_Dreamscape,_fantasy,_fantasy_fantasy,_8k,_epic,_epic_landscape,_landscape,_artstation_photography.",4
108,109,"3_Realism_on_hyper_detailed,_hyper_quality,_8_k,_render,_art_director..jpg","3_Realism_on_hyper_detailed,_hyper_quality,_8_k,_render,_art_director.",3
109,110,3_A_city_with_a_skyline_lit_with_lights..jpg,3_A_city_with_a_skyline_lit_with_lights.,4
110,111,"3_A_space_of_quiet,_minimalist_interior_design_with_a_lot_of_wood_and_glass,..jpg","3_A_space_of_quiet,_minimalist_interior_design_with_a_lot_of_wood_and_glass,.",4
111,112,3_A_very_original_painting_by_an_artist_who_calls_himself_a_minimalist_artist_and_who_uses_just_a..jpg,3_A_very_original_painting_by_an_artist_who_calls_himself_a_minimalist_artist_and_who_uses_just_a.,1
112,113,"3_A_city_was_made_out_of_glass,_realistic,_natural_lighting_and_lighting_effects,_artstation_realistic_art,_octane..jpg","3_A_city_was_made_out_of_glass,_realistic,_natural_lighting_and_lighting_effects,_artstation_realistic_art,_octane.",4
113,114,3_One_of_the_largest_buildings_of_the_city_skyline_with_an_empty_plaza..jpg,3_One_of_the_largest_buildings_of_the_city_skyline_with_an_empty_plaza.,4
114,115,"3_A_night_scene_in_a_futuristic_world,_in_a_forest,_a_building..jpg","3_A_night_scene_in_a_futuristic_world,_in_a_forest,_a_building.",4
115,116,3_Concept_art_of_a_warrior_in_a_landscape_with_a..jpg,3_Concept_art_of_a_warrior_in_a_landscape_with_a.,3
116,117,3_A_cinematic_shot_of_a_futuristic_super_jet..jpg,3_A_cinematic_shot_of_a_futuristic_super_jet.,4
117,118,"3_The_Legend_of_Zelda_concept_art,_hyper_realistic_8k,_epic_composition,_cinematic,_octane_render,_artstation_concept_art_photogra.jpg","3_The_Legend_of_Zelda_concept_art,_hyper_realistic_8k,_epic_composition,_cinematic,_octane_render,_artstation_concept_art_photogra",2
118,119,3_A_dystopian_future_with_all_sorts_of_technologies_we_cant_even_imagine_yet..jpg,3_A_dystopian_future_with_all_sorts_of_technologies_we_cant_even_imagine_yet.,4
119,120,"3_This_project_is_a_collection_of_ideas,_concepts,_sketches,_and_doodles_all_related_to_urban_architecture_in_San_Francisco..jpg","3_This_project_is_a_collection_of_ideas,_concepts,_sketches,_and_doodles_all_related_to_urban_architecture_in_San_Francisco.",2
120,121,"3_Modern_architecture_architectural,_skyscraper_building_design,_architecture_concept_art,_futuristic,_design,_futuristic_futurist.jpg","3_Modern_architecture_architectural,_skyscraper_building_design,_architecture_concept_art,_futuristic,_design,_futuristic_futurist",4
121,122,"3_Dark_serene_landscapes,_atmospheric,_hyper_realist,_8k,_epic_composition,_cinematic,_octane_render,_artstation_landscape..jpg","3_Dark_serene_landscapes,_atmospheric,_hyper_realist,_8k,_epic_composition,_cinematic,_octane_render,_artstation_landscape.",3
122,123,"3_A_still_from_a_short_film_by_David_Lynch,_shot_in_a_futuristic_city_in_the_year_2100,_it_looks_very_similar_to_our_world_but_wit.jpg","3_A_still_from_a_short_film_by_David_Lynch,_shot_in_a_futuristic_city_in_the_year_2100,_it_looks_very_similar_to_our_world_but_wit",2
123,124,3_a_world_made_of_light_with_a_different_color_and_texture..jpg,3_a_world_made_of_light_with_a_different_color_and_texture.,4
124,125,"3_A_landscape_of_the_desert,_ancient,_ancients,_with_pyramids,_mountains_around_the_land_are_rocky_with_a..jpg","3_A_landscape_of_the_desert,_ancient,_ancients,_with_pyramids,_mountains_around_the_land_are_rocky_with_a.",3
125,126,"3_Art_photograph,_portrait,_full_length,_natural_light,_3d,_photographer,_artsy,_portraiture,_fine_art,_fashion..jpg","3_Art_photograph,_portrait,_full_length,_natural_light,_3d,_photographer,_artsy,_portraiture,_fine_art,_fashion.",2
126,127,"3_Abstract_futuristic,_hyper_real,_hyper_stylized,_8k,_artstation,_abstract,_abstract_design,_abstract_world..jpg","3_Abstract_futuristic,_hyper_real,_hyper_stylized,_8k,_artstation,_abstract,_abstract_design,_abstract_world.",2
127,128,"3_Beach_city_in_high_desert,_futuristic,_hyper_realistic,_8k,_cinematic,_octane_render,_artstation_landscape_vista_photography..jpg","3_Beach_city_in_high_desert,_futuristic,_hyper_realistic,_8k,_cinematic,_octane_render,_artstation_landscape_vista_photography.",4
128,129,"3_Cool_city_design,_minimalist,_modern,_city_landscape_design,_cityscape_photography,_architecture,_architecture,_architecture_pho.jpg","3_Cool_city_design,_minimalist,_modern,_city_landscape_design,_cityscape_photography,_architecture,_architecture,_architecture_pho",3
129,130,"3_Beautiful_rendering_on_a_real_city,_realistic,_realistic_city_photobooks,_real_photos,_8k..jpg","3_Beautiful_rendering_on_a_real_city,_realistic,_realistic_city_photobooks,_real_photos,_8k.",2
130,131,"3_A_small_square_shaped_picture_made_by_glass_plate,_vintage_image,_photo_quality,_photo_editing..jpg","3_A_small_square_shaped_picture_made_by_glass_plate,_vintage_image,_photo_quality,_photo_editing.",2
131,132,"3_An_abstract_painting_illustration_of_a_beautiful_nature_scene_featuring_red,_orange,_yellow,_blue,_green_and_black..jpg","3_An_abstract_painting_illustration_of_a_beautiful_nature_scene_featuring_red,_orange,_yellow,_blue,_green_and_black.",2
132,133,"3_Landscapes_with_mountains_and_ocean,_rivers,_roads,_towns,_valleys,_roads,_hills..jpg","3_Landscapes_with_mountains_and_ocean,_rivers,_roads,_towns,_valleys,_roads,_hills.",4
133,134,"3_Photorealistic_and_hyper_detailed_concept_of_a_fictional_dragon,_8k..jpg","3_Photorealistic_and_hyper_detailed_concept_of_a_fictional_dragon,_8k.",4
